date,platform,channel,account_name,campaign_id,campaign_name,adset_id,adset_name,ad_id,ad_name,creative_id,creative_name,landing_page,geo,device,currency,spend,impressions,reach,frequency,clicks,link_clicks,ctr,cpc,video_views,video_view_rate,completed_views,listen_starts,completed_listens,sessions,accounts_created,new_activated_users,conversion_value,source_file,source_grain,attribution_notes,data_confidence,notes
2026-02-01,youtube,video,Kushank Aggarwal,2df29ff6-4109-403b-8392-04c6dfbbbaaa,Dedicated video: Kushank Aggarwal 2026-02-01,,,,,,,,,,USD,2000,,,,0,,,,0,,,,,,0,0,,activities + activity_uplifts,campaign,Dedicated video activity; incremental = post-window minus baseline; attributed=0,LOW,channel=youtube; status=booked; tag=; source=sheets
2026-02-01,youtube,video,Maker Thrive,a5c8aaf8-33d2-4472-8dc7-5b1b9faddf9d,Dedicated video: Maker Thrive 2026-02-01,,,,,,,https://www.youtube.com/watch?si=Tvp9f_JQSxn7BPrV&v=JmkiVHFMlnU&feature=youtu.be,,,USD,1500,125922,,,0,,,,125922,,,,,,596,173,,activities + activity_uplifts,campaign,Dedicated video activity; incremental = post-window minus baseline; attributed=0,LOW,channel=youtube; status=live; tag=; source=sheets
2026-02-01,youtube,video,Ted Garner IV,a76a7eec-c254-4327-9db2-053f1964fd78,Dedicated video: Ted Garner IV 2026-02-01,,,,,,,https://www.youtube.com/watch?v=PETnWgzwH3Y,,,USD,800,275,,,0,,,,275,,,,,,596,173,,activities + activity_uplifts,campaign,Dedicated video activity; incremental = post-window minus baseline; attributed=0,LOW,channel=youtube; status=live; tag=; source=sheets
2026-02-01,youtube,video,Viktor Farcic,6c61c009-f60d-4f7f-b670-d4e956ed8790,Dedicated video: Viktor Farcic 2026-02-01,,,,,,,,,,USD,5000,,,,0,,,,0,,,,,,0,0,,activities + activity_uplifts,campaign,Dedicated video activity; incremental = post-window minus baseline; attributed=0,LOW,channel=youtube; status=booked; tag=; source=sheets
2026-02-01,youtube,video,Winer Media,d140b67c-3d96-4d90-a01b-98a7b38c98a7,Dedicated video: Winer Media 2026-02-01,,,,,,,https://www.youtube.com/watch?v=363vPtmqhUs&feature=youtu.be,,,USD,3000,15982,,,0,,,,15982,,,,,,596,173,,activities + activity_uplifts,campaign,Dedicated video activity; incremental = post-window minus baseline; attributed=0,LOW,channel=youtube; status=live; tag=; source=sheets
2026-02-02,linkedin,paid_social,Ruben Hassid,accaafc9-b96c-4757-9d97-6a834c967bf0,dedicated carousel post: Ruben Hassid 2026-02-02,,,,,,,https://www.linkedin.com/feed/update/urn:li:ugcPost:7424065670700572672/,,,USD,8100,,,,0,,,,,,,,,,421,357,,activities + activity_uplifts,campaign,dedicated carousel post activity; incremental = post-window minus baseline; attributed=408,HIGH,channel=linkedin; status=live; tag=; source=sheets
2026-02-02,newsletter,newsletter,Sitepoint,a92f352b-d924-49dc-b1a7-df94d1a72943,Main ad: Sitepoint 2026-02-02,,,,,,,,,,USD,1000,,,,83,,,12.0482,,,,,,,94,66,,activities + activity_uplifts,campaign,Main ad activity; incremental = post-window minus baseline; attributed=21,LOW,channel=newsletter; status=live; tag=; source=sheets
2026-02-02,other,influencer,Growi UGC,,,,,,,,,,,,USD,,127,,,,,,,127,,,,,,,,,growi_daily_snapshots,daily_total,Growi UGC aggregate; no spend or conversion tracking,medium,likes=0; comments=0; shares=0; saves=0; posts=1; tiktok_views=127; ig_views=0
2026-02-02,other,product,,,,,,,,,,,,,,,,,,,,,,,,,,,,776,458,,daily_metrics,daily_total,Product-level daily totals; not attributed to any campaign/platform,high,
2026-02-02,podscribe,audio,Per My Last Email,5f78cf84-f8fa-3802-6c00-6a3d7c86bb63,baked-in: Per My Last Email 2026-02-02,,,,,,,,,,USD,0,,,,0,,,,,,,,,,152,107,,activities + activity_uplifts,campaign,baked-in activity; incremental = post-window minus baseline; attributed=152,HIGH,channel=podcast; status=live; tag=; source=podscribe
